Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada, Montana , High ,200,5,350,70000,9800,60200,52000,8200,5/1/2014,5, May ,2014
Small Business,Germany, Carretera , Low ,214,3,300,64200,1284,62916,53500,9416,10/1/2013,10, October ,2013
Small Business,Germany, VTT , Low ,214,250,300,64200,1284,62916,53500,9416,10/1/2013,10, October ,2013
Midmarket,Canada, Paseo , Low ,218,10,15,3270,130.8,3139.2,2180,959.2,9/1/2014,9, September ,2014
Government,Germany, Paseo , High ,241,10,20,4820,482,4338,2410,1928,10/1/2014,10, October ,2014
Government,Germany, Velo , High ,241,120,20,4820,482,4338,2410,1928,10/1/2014,10, October ,2014
Midmarket,Mexico, Velo , Medium ,245,120,15,3675,330.75,3344.25,2450,894.25,5/1/2014,5, May ,2014
Government,Canada, Paseo , Medium ,257,10,7,1799,143.92,1655.08,1285,370.08,5/1/2014,5, May ,2014
Small Business,Germany, Amarilla , Low ,259,260,300,77700,1554,76146,64750,11396,3/1/2014,3, March ,2014
Government,Mexico, Paseo , High ,260,10,20,5200,728,4472,2600,1872,2/1/2014,2, February ,2014
Government,Germany, VTT , Low ,263,250,7,1841,18.41,1822.59,1315,507.59,3/1/2014,3, March ,2014
Government,United States of America, Carretera , Medium ,263,3,7,1841,110.46,1730.54,1315,415.54,11/1/2013,11, November ,2013
Government,United States of America, VTT , Low ,266,250,350,93100,1862,91238,69160,22078,12/1/2013,12, December ,2013
Government,United States of America, Paseo , High ,267,10,20,5340,801,4539,2670,1869,10/1/2013,10, October ,2013
Government,United States of America, VTT , High ,267,250,20,5340,801,4539,2670,1869,10/1/2013,10, October ,2013
Small Business,Canada, Velo , High ,269,120,300,80700,11298,69402,67250,2152,10/1/2013,10, October ,2013
Small Business,Canada, VTT , High ,269,250,300,80700,11298,69402,67250,2152,10/1/2013,10, October ,2013
Government,United States of America, Amarilla , High ,270,260,350,94500,11340,83160,70200,12960,2/1/2014,2, February ,2014
Government,United States of America, Carretera , Low ,274,3,350,95900,3836,92064,71240,20824,12/1/2014,12, December ,2014
Government,United States of America, Paseo , Low ,274,10,350,95900,3836,92064,71240,20824,12/1/2014,12, December ,2014
Midmarket,Germany, Paseo , High ,278,10,15,4170,583.8,3586.2,2780,806.2,2/1/2014,2, February ,2014
Government,Germany, Carretera , High ,280,3,7,1960,274.4,1685.6,1400,285.6,12/1/2014,12, December ,2014
Government,Germany, VTT , High ,280,250,7,1960,274.4,1685.6,1400,285.6,12/1/2014,12, December ,2014
Government,Canada, Paseo ,,292,10,20,5840,0,5840,2920,2920,2/1/2014,2, February ,2014
Government,France, Paseo , High ,293,10,20,5860,879,4981,2930,2051,12/1/2014,12, December ,2014
Government,France, VTT , High ,293,250,20,5860,879,4981,2930,2051,12/1/2014,12, December ,2014
Government,France, Montana , High ,293,5,7,2051,287.14,1763.86,1465,298.86,2/1/2014,2, February ,2014
Channel Partners,France, Amarilla , Medium ,306,260,12,3672,330.48,3341.52,918,2423.52,12/1/2013,12, December ,2013
Midmarket,France, Amarilla , Low ,321,260,15,4815,48.15,4766.85,3210,1556.85,11/1/2013,11, November ,2013
Small Business,France, Montana , Medium ,322,5,300,96600,8694,87906,80500,7406,9/1/2013,9, September ,2013
Enterprise,United States of America, Carretera , Low ,330,3,125,41250,412.5,40837.5,39600,1237.5,9/1/2013,9, September ,2013
Small Business,Germany, Montana , Medium ,334,5,300,100200,9018,91182,83500,7682,12/1/2013,12, December ,2013
Enterprise,Mexico, VTT , High ,341,250,125,42625,4262.5,38362.5,40920,-2557.5,5/1/2014,5, May ,2014
Government,Mexico, Velo , High ,344,120,350,120400,13244,107156,89440,17716,10/1/2013,10, October ,2013
Government,Mexico, Amarilla , High ,344,260,350,120400,13244,107156,89440,17716,10/1/2013,10, October ,2013
Enterprise,Canada, Montana ,,345,5,125,43125,0,43125,41400,1725,10/1/2013,10, October ,2013
Enterprise,Canada, Velo ,,345,120,125,43125,0,43125,41400,1725,10/1/2013,10, October ,2013
Government,United States of America, VTT , Low ,349,250,350,122150,4886,117264,90740,26524,9/1/2013,9, September ,2013
Government,Germany, Paseo , High ,357,10,350,124950,16243.5,108706.5,92820,15886.5,11/1/2014,11, November ,2014
Government,Germany, Paseo , Medium ,360,10,7,2520,226.8,2293.2,1800,493.2,10/1/2014,10, October ,2014
Government,Germany, VTT , Medium ,360,250,7,2520,226.8,2293.2,1800,493.2,10/1/2014,10, October ,2014
Government,Mexico, Velo , Low ,362,120,7,2534,25.34,2508.66,1810,698.66,5/1/2014,5, May ,2014
Channel Partners,Germany, Paseo ,,367,10,12,4404,0,4404,1101,3303,7/1/2014,7, July ,2014
Channel Partners,Mexico, Carretera , Medium ,367,3,12,4404,396.36,4007.64,1101,2906.64,10/1/2013,10, October ,2013
Channel Partners,Mexico, Paseo , Medium ,367,10,12,4404,396.36,4007.64,1101,2906.64,10/1/2013,10, October ,2013
Midmarket,Mexico, Paseo , High ,380,10,15,5700,684,5016,3800,1216,12/1/2013,12, December ,2013
Government,United States of America, Paseo , High ,380,10,7,2660,292.6,2367.4,1900,467.4,9/1/2013,9, September ,2013
